site;plot;treatment;transect;subplot;position_m;species;height_cm;girth_cm;diameter_cm;notes
Rya åsar;NO;thinned;NO80;3;43;Frangula alnus;35;;;
Rya åsar;NO;thinned;NO80;3;43;Frangula alnus;22;;;
Rya åsar;NO;thinned;NO80;3;43;Frangula alnus;23;;;
Rya åsar;NO;thinned;NO80;3;43;Frangula alnus;20;;;
Rya åsar;NO;thinned;NO80;3;43;Frangula alnus;42;;;
Rya åsar;NO;thinned;NO80;3;43;Frangula alnus;153;1;0,318310155;
Rya åsar;NO;thinned;NO80;3;43;Frangula alnus;207;1;0,318310155;
Rya åsar;NO;thinned;NO80;3;43;Frangula alnus;154;1;0,318310155;
Rya åsar;NO;thinned;NO80;4;64;Frangula alnus;>130;6;1,90986093;mostly litter, dead logs, grass in the more open part
Rya åsar;NO;thinned;NO80;4;64;Frangula alnus;194;1;0,318310155;
Rya åsar;NO;thinned;NO80;4;64;Frangula alnus;>130;5;1,591550775;
Rya åsar;NO;thinned;NO80;4;64;Frangula alnus;196;2;0,63662031;
Rya åsar;NO;thinned;NO80;4;64;Quercus sp.;28;;;
Rya åsar;NO;thinned;NO80;4;64;Quercus sp.;22;;;
Rya åsar;NO;thinned;NO80;4;64;Corylus avellana;>130;3;0,954930465;
Rya åsar;NO;thinned;NO80;4;64;Quercus sp.;36;;;
Rya åsar;NO;thinned;NO80;4;64;Quercus sp.;28;;;
Rya åsar;NO;thinned;NO80;4;64;Quercus sp.;21;;;
Rya åsar;NO;thinned;NO80;4;64;Quercus sp.;26;;;
Rya åsar;NO;thinned;NO80;4;64;Sorbus aucuparia;31;;;
Rya åsar;NO;thinned;NO80;4;64;Sorbus aucuparia;21;;;
Rya åsar;NO;thinned;NO80;4;64;Sorbus aucuparia;85;;;
Rya åsar;NO;thinned;NO80;4;64;Quercus sp.;16;;;
Rya åsar;NO;thinned;NO80;4;64;Quercus sp.;20;;;
Rya åsar;NO;thinned;NO80;4;64;Quercus sp.;14;;;
Rya åsar;NO;thinned;NO80;4;64;Quercus sp.;45;;;betade ekar
Rya åsar;NO;thinned;NO80;4;64;Quercus sp.;55;;;
Rya åsar;NO;thinned;NO80;4;64;Quercus sp.;23;;;
Rya åsar;NO;thinned;NO80;4;64;Quercus sp.;14;;;
Rya åsar;NO;thinned;NO80;4;64;Quercus sp.;17;;;
Rya åsar;NO;thinned;NO80;4;64;Quercus sp.;16;;;
Rya åsar;NO;thinned;NO80;4;64;Quercus sp.;20;;;
Rya åsar;NO;thinned;NO80;4;64;Quercus sp.;17;;;
Rya åsar;NO;thinned;NO80;4;64;Quercus sp.;31;;;
Rya åsar;NO;thinned;NO80;4;64;Quercus sp.;6;;;
Rya åsar;NO;thinned;NO80;4;64;Quercus sp.;15;;;
Rya åsar;NO;thinned;NO80;4;64;Quercus sp.;19;;;
Rya åsar;NO;thinned;NO80;4;64;Quercus sp.;36;;;
Rya åsar;NO;thinned;NO80;4;64;Quercus sp.;8;;;
Rya åsar;NO;thinned;NO80;4;64;Frangula alnus;>130;4;1,27324062;
Rya åsar;NO;thinned;NO80;4;64;Frangula alnus;>130;2;0,63662031;
Rya åsar;NO;thinned;NO80;4;64;Frangula alnus;>130;5;1,591550775;
Rya åsar;NO;thinned;NO80;4;64;Frangula alnus;>130;1;0,318310155;
Rya åsar;NO;thinned;NO105;1;14;Frangula alnus;12;;;
Rya åsar;NO;thinned;NO105;1;14;Frangula alnus;24;;;
Rya åsar;NO;thinned;NO105;1;14;Frangula alnus;>130;9;2,864791395;
Rya åsar;NO;thinned;NO105;1;14;Sorbus aucuparia;6;;;
Rya åsar;NO;thinned;NO105;1;14;Quercus sp.;18;;;
Rya åsar;NO;thinned;NO105;1;14;Quercus sp.;13;;;
Rya åsar;NO;thinned;NO105;1;14;Frangula alnus;190;1;0,318310155;
Rya åsar;NO;thinned;NO105;1;14;Frangula alnus;>130;7;2,228171085;
Rya åsar;NO;thinned;NO105;1;14;Ulmus sp.;84;;;unsure about the species, see inaturalist
Rya åsar;NO;thinned;NO105;1;14;Fagus sylvatica;>130;7;2,228171085;
Rya åsar;NO;thinned;NO105;2;26;Quercus sp.;15;;;mostly litter, ferns, a big rock in the corner
Rya åsar;NO;thinned;NO105;2;26;Quercus sp.;18;;;
Rya åsar;NO;thinned;NO105;2;26;Frangula alnus;>130;3;0,954930465;
Rya åsar;NO;thinned;NO105;2;26;Frangula alnus;>130;4;1,27324062;
Rya åsar;NO;thinned;NO105;2;26;Frangula alnus;97;;;
Rya åsar;NO;thinned;NO105;2;26;Frangula alnus;>130;1;0,318310155;
Rya åsar;NO;thinned;NO105;2;26;Frangula alnus;>130;4;1,27324062;
Rya åsar;NO;thinned;NO105;2;26;Frangula alnus;>130;4;1,27324062;
Rya åsar;NO;thinned;NO105;2;26;Frangula alnus;>130;5;1,591550775;
Rya åsar;NO;thinned;NO105;2;26;Frangula alnus;>130;4;1,27324062;
Rya åsar;NO;thinned;NO105;3;42;Sorbus aucuparia;10;;;mostly litter, a linden in the subplot and a large oak just outside the subplot
Rya åsar;NO;thinned;NO105;3;42;Sorbus aucuparia;15;;;
Rya åsar;NO;thinned;NO105;3;42;Acer platanoides;8;;;inaturalist
Rya åsar;NO;thinned;NO105;4;63;0;;;;mostly litter, some ferns and rocks
Sandviksås;V;control;V55;1;10;Quercus sp.;10;;;under a spruce, mostly moss, a big rock, some boar marks
Sandviksås;V;control;V55;2;45;Populus tremula;7;;;see inaturalist, mostly litter, some moss, under spruces
Sandviksås;V;control;V55;3;56;0;;;;one half litter, other half more moss, some boar marks
Sandviksås;V;control;V55;4;90;0;;;;only litter, under spruces and an oak
Sandviksås;V;control;V75;1;12;Picea abies;81;;;mostly litter, under spruces
Sandviksås;V;control;V75;1;12;Picea abies;142;1;0,318310155;
Sandviksås;V;control;V75;1;12;Picea abies;>130;13;4,138032016;
Sandviksås;V;control;V75;1;12;Picea abies;73;;;
Sandviksås;V;control;V75;1;12;Picea abies;93;;;
Sandviksås;V;control;V75;1;12;Picea abies;135;1;0,318310155;
Sandviksås;V;control;V75;2;40;Picea abies;>130;10;3,18310155;mostly litter and some moss
Sandviksås;V;control;V75;2;40;Sorbus aucuparia;13;;;
Sandviksås;V;control;V75;3;53;0;;;;mostly litter, some boar marks, under spruce and two oaks
Sandviksås;V;control;V75;4;86;Picea abies;3;;;a big mossy rock, an oak and a spruce in the subplot, otherwise litter, some blueberry
Sandviksås;V;control;V75;4;86;Picea abies;3;;;
Sandviksås;V;control;V75;4;86;Quercus sp.;9;;;
Sandviksås;V;control;random;opening 1;;Picea abies;>130;7;2,228171085;225 degrees, 0 meters
Sandviksås;V;control;random;opening 1;;Picea abies;>130;3;0,954930465;
Sandviksås;V;control;random;opening 2;;Picea abies;>130;14;4,456342171;18 degrees, 3 meters
Sandviksås;V;control;random;opening 2;;Picea abies;>130;13;4,138032016;
Sandviksås;V;control;random;opening 2;;Quercus sp.;37;;;all or almost all oaks were browsed on 
Sandviksås;V;control;random;opening 2;;Quercus sp.;30;;;
Sandviksås;V;control;random;opening 2;;Quercus sp.;45;;;
Sandviksås;V;control;random;opening 2;;Quercus sp.;32;;;
Sandviksås;V;control;random;opening 2;;Quercus sp.;32;;;
Sandviksås;V;control;random;opening 2;;Quercus sp.;46;;;
Sandviksås;V;control;random;opening 2;;Quercus sp.;47;;;
Sandviksås;V;control;random;opening 2;;Quercus sp.;37;;;
Sandviksås;V;control;random;opening 2;;Quercus sp.;31;;;
Sandviksås;V;control;random;opening 2;;Quercus sp.;52;;;
Sandviksås;V;control;random;opening 2;;Quercus sp.;30;;;
Sandviksås;V;control;random;opening 2;;Quercus sp.;45;;;
Sandviksås;V;control;random;opening 2;;Quercus sp.;37;;;
Sandviksås;V;control;random;opening 2;;Quercus sp.;41;;;
Sandviksås;V;control;random;opening 2;;Quercus sp.;48;;;
Sandviksås;V;control;random;opening 2;;Quercus sp.;38;;;
Sandviksås;V;control;random;opening 2;;Quercus sp.;40;;;
Sandviksås;V;control;random;opening 2;;Quercus sp.;65;;;
Sandviksås;V;control;random;opening 2;;Quercus sp.;40;;;
Sandviksås;V;control;random;opening 2;;Quercus sp.;56;;;
Sandviksås;V;control;random;opening 2;;Quercus sp.;50;;;
Sandviksås;V;control;random;opening 2;;Quercus sp.;36;;;
Sandviksås;Ö;thinned;Ö25;1;1;Populus tremula;4;;;inaturalist, ganska säker på asp, se bladnerv
Sandviksås;Ö;thinned;Ö25;1;1;Quercus sp.;22;;;a lot of moss, blueberry, all seedlings browsed on
Sandviksås;Ö;thinned;Ö25;1;1;Quercus sp.;27;;;
Sandviksås;Ö;thinned;Ö25;1;1;Populus tremula;13;;;
Sandviksås;Ö;thinned;Ö25;1;1;Populus tremula;22;;;
