Site;Plot;Treatment;Species;Girth (cm);Diameter (cm);Notes
Skölvene;Ö50-60;thinned;Corylus avellana;36;11,45916558;
Skölvene;Ö50-60;thinned;Corylus avellana;24;7,639443721;
Skölvene;Ö50-60;thinned;Corylus avellana;24;7,639443721;
Skölvene;Ö50-60;thinned;Corylus avellana;27;8,594374186;
Skölvene;Ö50-60;thinned;Corylus avellana;27;8,594374186;
Skölvene;Ö50-60;thinned;Corylus avellana;18;5,729582791;
Skölvene;Ö50-60;thinned;Corylus avellana;29;9,230994496;
Skölvene;Ö50-60;thinned;Corylus avellana;16;5,092962481;
Skölvene;Ö50-60;thinned;Corylus avellana;28;8,912684341;
Skölvene;Ö50-60;thinned;Quercus sp.;49;15,5971976;
Skölvene;Ö50-60;thinned;Quercus sp.;24;7,639443721;
Skölvene;Ö50-60;thinned;Quercus sp.;31;9,867614807;
Skölvene;Ö50-60;thinned;Quercus sp.;16;5,092962481;
Skölvene;Ö50-60;thinned;Corylus avellana;18;5,729582791;
Skölvene;Ö50-60;thinned;Corylus avellana;18;5,729582791;
Skölvene;Ö50-60;thinned;Corylus avellana;20;6,366203101;
Skölvene;Ö50-60;thinned;Populus tremula;175;55,70427713;
Skölvene;Ö50-60;thinned;Betula sp.;17;5,411272636;
Skölvene;Ö50-60;thinned;Quercus sp.;23;7,321133566;
Skölvene;Ö50-60;thinned;Alnus glutinosa;89;28,3296038;
Skölvene;Ö50-60;thinned;Quercus sp.;133;42,33525062;
Skölvene;Ö50-60;thinned;Alnus glutinosa;87;27,69298349;
Skölvene;Ö50-60;thinned;Corylus avellana;16;5,092962481;
Skölvene;Ö50-60;thinned;Corylus avellana;16;5,092962481;
Skölvene;Ö50-60;thinned;Corylus avellana;16;5,092962481;
Skölvene;Ö50-60;thinned;Alnus glutinosa;21;6,684513256;
Skölvene;Ö50-60;thinned;Corylus avellana;21;6,684513256;
Skölvene;Ö50-60;thinned;Corylus avellana;18;5,729582791;
Skölvene;Ö50-60;thinned;Corylus avellana;17;5,411272636;
Skölvene;Ö50-60;thinned;Corylus avellana;16;5,092962481;
Skölvene;Ö50-60;thinned;Corylus avellana;34;10,82254527;
Skölvene;Ö50-60;thinned;Picea abies;16;5,092962481;
Skölvene;Ö50-60;thinned;Alnus glutinosa;103;32,78594597;
Skölvene;Ö50-60;thinned;Corylus avellana;17;5,411272636;
Skölvene;Ö50-60;thinned;Picea abies;18;5,729582791;
Skölvene;Ö50-60;thinned;Corylus avellana;19;6,047892946;
Skölvene;Ö50-60;thinned;Corylus avellana;19;6,047892946;
Skölvene;Ö50-60;thinned;Betula sp.;28;8,912684341;
Skölvene;Ö50-60;thinned;Quercus sp.;200;63,66203101;
Skölvene;Ö50-60;thinned;Betula sp.;43;13,68733667;
Skölvene;Ö50-60;thinned;Quercus sp.;124;39,47045923;
Skölvene;Ö50-60;thinned;Quercus sp.;179;56,97751775;
Skölvene;Ö50-60;thinned;Betula sp.;44;14,00564682;
Skölvene;Ö50-60;thinned;Betula sp.;44;14,00564682;
Skölvene;Ö50-60;thinned;Betula sp.;24;7,639443721;
Skölvene;Ö50-60;thinned;Corylus avellana;28;8,912684341;
Skölvene;Ö50-60;thinned;Corylus avellana;19;6,047892946;
Skölvene;Ö50-60;thinned;Corylus avellana;24;7,639443721;
Skölvene;Ö50-60;thinned;Sorbus aucuparia;47;14,96057729;
Skölvene;Ö50-60;thinned;Betula sp.;42;13,36902651;
Skölvene;Ö50-60;thinned;Corylus avellana;17;5,411272636;
Skölvene;Ö50-60;thinned;Corylus avellana;19;6,047892946;
Skölvene;Ö50-60;thinned;Corylus avellana;18;5,729582791;
Skölvene;Ö50-60;thinned;Betula sp.;42;13,36902651;
Skölvene;Ö50-60;thinned;Quercus sp.;190;60,47892946;
Skölvene;Ö50-60;thinned;Quercus sp.;68;21,64509054;
Skölvene;Ö50-60;thinned;Corylus avellana;18;5,729582791;
